Video_Content,Published_Date,Video_Length,Liked_Count,Comment_Count,Shared_Count,Product_Count,Video_URL
平时都是孩子们耍帅 这次妈妈们也来个逆袭 @WIS星品,2023-04-05 17:01:10,1分20秒,78817,1753,2653,,https://www.douyin.com/share/video/7218457624356982031?
拥有一个牙医男友是什么体验？#新一代迪奥锁妆粉底液#双向锁妆不改初色,2023-03-03 18:31:05,6小时29分10秒,78636,1258,6347,,https://www.douyin.com/share/video/7205940804865559865?
BURBERRY，听说你家的风衣很有名？那出粉底液就别怪我不客气咯！#Burberry风衣粉底液 #底妆,2023-03-02 20:28:49,4小时29分34秒,78389,310,1200,,https://www.douyin.com/share/video/7205891320496377145?
补一次妆等于补了一次防晒～二十几就有两个正装大盘！#夏日必备 #定妆,2023-03-23 16:54:15,49秒,78161,4195,12838,,https://www.douyin.com/share/video/7213662350178520360?
今年就流行这样AB双面的抓夹！两面都能戴、中号的不挑发量、大人小孩都能戴#头饰发饰 #抓夹 #发饰,2023-03-13 18:39:51,6秒,77444,2766,12591,,https://www.douyin.com/share/video/7209978708801637672?
谁敢想我花了两位数把“搓澡大姨”请回家？！每天都是又香又滑~#磨砂膏  #未兰磨砂膏,2023-02-23 18:00:26,3小时1分26秒,76952,1413,2705,,https://www.douyin.com/share/video/7202912703327817020?
真牛啊！炸毛被熨平！烫染姐妹给我一人一盒备着！#烫染 #沙宣蛋白护理发膜 #柔顺,2023-03-21 17:00:35,1分26秒,76736,235,1139,,https://www.douyin.com/share/video/7212625920916540672?
妈妈说小时候外婆用的就是片仔癀珍珠霜，很多人都羡慕她的皮肤#片仔癀珍珠霜 #国货之光 #美容护肤养生,2023-04-04 19:22:21,1分4秒,76653,2955,8582,,https://www.douyin.com/share/video/7218153538755530039?
人生建议：奉劝各位女孩子千万别再挤#黑头 啦！小心#毛孔 越来越大！！#毛孔粗大 #痘痘黑头粉刺拜拜 #青春痘,2023-03-05 07:50:44,10秒,76174,3909,5884,,https://www.douyin.com/share/video/7206842718297902395?
快乐的时光总是短暂的 我们下次见～#艾惟诺宝宝防晒霜 #艾维诺 #clubmed#放飞挑战晒,2023-03-26 17:35:38,1分49秒,75963,1734,2471,,https://www.douyin.com/share/video/7214763401392786688?
这是画皮吧？底妆真能跟焊在脸上一样服帖？！#粉底液  #底妆   #仿真肌粉底液  #uodo粉底液真实测评,2023-03-27 20:41:02,1分36秒,75506,2897,7439,,https://www.douyin.com/share/video/7215180636913487164?
三招拍出芭蕾少女照！一刮就掉，不做猕猴桃！#猕猴桃女孩#薇婷 #抖音电商超级品牌日,2023-03-10 17:00:17,1分59秒,75399,444,12725,,https://www.douyin.com/share/video/7207709613783846199?
我可太会找伪素颜口红了！又纯又嫩！  #伪素颜 #干唇好物#护唇精华,2023-03-20 20:18:38,1分19秒,74936,388,1441,,https://www.douyin.com/share/video/7212589079865724198?
痘痘肌来开会了！#雅漾 #雅漾C位精华 #测评 #肆无肌惮清爽不痘留,2023-03-28 20:36:56,1分27秒,73897,2140,3111,,https://www.douyin.com/share/video/7215532154539838779?
无骨袜太好穿啦，软糯软糯的，吸汗透气不闷脚#开春搭配 #谁穿谁好看 #堆堆袜 #月子袜,2023-02-22 19:49:38,22分40秒,73226,597,5273,,https://www.douyin.com/share/video/7202946070521892100?
